City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Vostok,RU,56.25,broken clouds,46.4856,135.8833,
271,Hadgaon,IN,79.02,overcast clouds,19.5,77.6667,Ayan khan
272,Norman Wells,CA,55.44,overcast clouds,65.282,-126.8329,Heritage Hotel
273,Torbay,CA,79.57,broken clouds,47.6666,-52.7314,Gallows Cove
275,Vanimo,PG,76.42,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
278,Hay River,CA,60.78,broken clouds,60.8156,-115.7999,Ptarmigan Inn
279,Carballo,ES,64.9,clear sky,43.213,-8.691,Pazo do Souto
281,Krasnyy Luch,UA,64.58,overcast clouds,48.1395,38.9371,"КРАСНЫЙ ЛУЧ, ГОСТИНИЦА"
283,Chapadinha,BR,83.1,overcast clouds,-3.7417,-43.3603,Chapadinhense Hotel
284,Malindi,KE,75.15,few clouds,-3.2175,40.1191,African House Resort
285,Caloundra,AU,62.06,clear sky,-26.8,153.1333,Watermark Resort Caloundra
287,Bima,ID,71.65,clear sky,-8.4667,118.7167,Lambitu Hotel
288,Muros,ES,65.98,clear sky,42.7762,-9.0603,Apartment Av. Castelao
289,Kupang,ID,75.24,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
290,Prince Albert,CA,85.95,broken clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
291,Sortavala,RU,57.13,overcast clouds,61.7053,30.6918,Lamberg
292,Isangel,VU,62.71,broken clouds,-19.55,169.2667,Tanna Lodge
296,Asuncion Nochixtlan,MX,71.85,broken clouds,17.4667,-97.2333,Hotel Kristal
297,Arman,RU,57.87,overcast clouds,59.7,150.1667,
299,Linqu,CN,68.86,scattered clouds,36.5156,118.5397,Jiaohua Hotel
300,Mandalgovi,MN,63.25,scattered clouds,45.7625,106.2708,В.Ганбат
301,Guerrero Negro,MX,80.55,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
302,Ohara,JP,68.29,overcast clouds,35.25,140.3833,魁
303,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
305,Kasongo-Lunda,CD,84.16,broken clouds,-6.4667,16.8167,
306,Bereda,ES,61.57,clear sky,43.2686,-7.5406,Pazo de Verdes
308,Oistins,BB,87.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
309,Kathmandu,NP,67.23,overcast clouds,27.7167,85.3167,Hotel Shanker Kathmandu
311,Orodara,BF,73.78,overcast clouds,10.9492,-4.9342,Bkf Orodara
312,High Rock,BS,86.02,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
313,Port Shepstone,ZA,59.65,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
314,Muriae,BR,71.87,broken clouds,-21.1306,-42.3664,Premium Plaza Hotel
315,Nemuro,JP,56.19,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
316,Xuddur,SO,73.02,broken clouds,4.1213,43.8894,Banjanay Hotel
319,Virginia Beach,US,86.11,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
322,Baiyin,CN,67.08,scattered clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
323,Antofagasta,CL,58.28,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
324,Issoire,FR,72.66,clear sky,45.55,3.25,ACE Hôtel - Issoire
326,Acajutla,SV,86.81,overcast clouds,13.5928,-89.8275,asi es
327,Nimaparha,IN,82.96,overcast clouds,20.0667,86.0167,Maa Karanjai Sweet And Hotel 🏨
329,Waingapu,ID,75.13,clear sky,-9.6567,120.2641,Pondok Wisata Elim
331,Santa Fe,AR,65.91,clear sky,-31.6333,-60.7,Conquistador Hotel
335,Turayf,SA,82.65,clear sky,31.6725,38.6637,Turaif
336,Middelburg,ZA,55.4,broken clouds,-25.7751,29.4648,Oregon Place Guest House
337,Visnes,NO,55.58,broken clouds,59.3556,5.2242,Park Inn Haugesund Airport
340,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
341,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
342,Superior,US,89.94,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
343,Necochea,AR,64.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
344,Kudat,MY,80.53,few clouds,6.8837,116.8477,Dream Garden Hotel
346,Corrente,BR,82.92,broken clouds,-3.7367,-43.3394,Chapadinhense Hotel
348,Trenggalek,ID,73.24,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
350,Prior Lake,US,88.09,clear sky,44.7133,-93.4227,Mystic Lake Casino Hotel
351,Abancay,PE,70.74,broken clouds,-13.6339,-72.8814,Siball Hotel
354,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
355,Cidreira,BR,58.19,scattered clouds,-30.1811,-50.2056,Hotel Castelo
356,Cairns,AU,68.07,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
357,Faanui,PF,79.03,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
358,Baruun-Urt,MN,57.09,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
362,Santa Maria,BR,70.9,few clouds,-29.6842,-53.8069,Hotel Morotin
363,Macomb,US,80.78,clear sky,40.4592,-90.6718,Hampton Inn Macomb
364,Makinsk,KZ,59.36,few clouds,52.6292,70.4169,Bereke
368,Piacabucu,BR,72.93,broken clouds,-10.4056,-36.4344,Piaçabuçu News
369,Avesta,SE,61.52,overcast clouds,60.1455,16.1679,Avesta Stadshotell AB
370,Shar,KZ,55.92,clear sky,49.5886,81.0453,
371,Terny,UA,67.1,clear sky,50.9833,33.9833,
372,Santa Rita,BR,77.67,scattered clouds,-7.1139,-34.9781,Infinity Motel
373,Plunge,LT,63.19,clear sky,55.9114,21.8442,Hotel Porto
374,Wad Rawah,SD,87.91,broken clouds,15.1603,33.1397,ود الترابي
375,Ilan,TW,82.26,clear sky,24.757,121.753,Dar Chen Hotel
378,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
379,Sabha,LY,84.56,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
380,Yatou,CN,70.83,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
381,San Isidro,PE,71.02,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
385,Shieli,KZ,68.04,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
388,Matay,EG,87.12,clear sky,28.419,30.7792,Nag Aespen
389,Safford,US,89.06,overcast clouds,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
390,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
394,Nakhon Phanom,TH,73.08,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
395,Balykshi,KZ,71.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
396,High Level,CA,57.31,light rain,58.5169,-117.136,Days Inn by Wyndham High Level
397,Yining,CN,73.69,overcast clouds,29.0361,114.5636,Xiushui Hotel
398,Mezen,RU,55.54,broken clouds,65.8522,44.24,Gostevoy Dom Everest
399,Keti Bandar,PK,79.79,overcast clouds,24.1447,67.4497,Haji laloo memon house
401,Goderich,CA,79.03,clear sky,43.7501,-81.7165,Harmony Inn
402,Mahibadhoo,MV,82.24,broken clouds,3.7833,72.9667,Omadhoo Inn
404,Kulhudhuffushi,MV,81.79,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
407,Nenjiang,CN,59.29,clear sky,49.1833,125.2167,Nenjiang Apartment
